Symbol,Name
ABBV,AbbVie Inc.
ABT,Abbott Laboratories
ACN,Accenture plc
AGN,Allergan plc
AIG,American International Group Inc.
ALL,Allstate Corp.
AXP,American Express
BA,Boeing Co.
BAC,Bank of America Corp
BK,The Bank of New York Mellon
BLK,BlackRock Inc
BMY,Bristol-Myers Squibb
BRK.B,Berkshire Hathaway
C,Citigroup Inc
CAT,Caterpillar Inc.
CL,Colgate-Palmolive
COF,Capital One Financial Corp.
COP,ConocoPhillips
CVS,CVS Health
CVX,Chevron Corporation
DHR,Danaher Corporation
DIS,The Walt Disney Company
DUK,Duke Energy
DD,DowDuPont
EMR,Emerson Electric Co.
EXC,Exelon
F,Ford Motor Company
FDX,FedEx
GD,General Dynamics
GE,General Electric
GM,General Motors
GS,Goldman Sachs
HAL,Halliburton
HD,Home Depot
HON,Honeywell
IBM,International Business Machines
JNJ,Johnson & Johnson
JPM,JPMorgan Chase & Co.
KMI,Kinder Morgan
KO,The Coca-Cola Company
LLY,Eli Lilly and Company
LMT,Lockheed Martin
LOW,Lowe's
MA,MasterCard Inc
MCD,McDonald's Corp
MDT,Medtronic plc
MET,MetLife Inc.
MMM,3M Company
MO,Altria Group
MRK,Merck & Co.
MS,Morgan Stanley
MSFT,Microsoft
NEE,NextEra Energy
NKE,"Nike, Inc."
NVDA,NVIDIA Corp.
ORCL,Oracle Corporation
OXY,Occidental Petroleum Corp.
PFE,Pfizer Inc
PG,Procter & Gamble Co
PM,Philip Morris International
PYPL,PayPal Holdings
QCOM,Qualcomm Inc.
RTN,Raytheon Co.
SLB,Schlumberger
SO,Southern Company
SPG,"Simon Property Group, Inc."
T,AT&T Inc
TGT,Target Corporation
UNH,UnitedHealth Group
UNP,Union Pacific Corporation
UPS,United Parcel Service
USB,U.S. Bancorp
UTX,United Technologies
V,Visa Inc.
VZ,Verizon Communications
WFC,Wells Fargo
WMT,Walmart
XOM,Exxon Mobil Corp.
