Symbol, Name,Sector,Industry
AAV,Advantage Oil & Gas Ltd.,Energy,Exploration & Production
ARE,Aecon Group Inc.,Industrials,Engineering & Construction
AEM,Agnico Eagle Mines Limited,Basic Materials,Metals & Mining
AC,Air Canada,Industrials,Airlines
ASR,Alacer Gold Corp.,Basic Materials,Metals & Mining
AGI,Alamos Gold Inc.,Basic Materials,Metals & Mining
AD,Alaris Royalty Corp.,Financial Services,Banks
AQN,Algonquin Power & Utilities Corp.,Utilities,Independent Power Producers
ATD-B,Alimentation Couche-Tard Inc.,Consumer Defensive,Retail - Defensive
AP-UN,Allied Properties Real Estate Investment Trust,Real Estate,REITs
ALA,AltaGas Ltd.,Energy,Midstream
AIF,Altus Group Limited,Technology,Application Software
APH,Aphria Inc.,Healthcare,Biotechnology
ARX,ARC Resources Ltd.,Energy,Exploration & Production
AX-UN,Artis Real Estate Investment Trust,Real Estate,REITs
ACO-X,ATCO Ltd.,Utilities,Regulated Utilities
ATA,ATS Automation Tooling Systems Inc.,Industrials,Industrial Products
ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers
BTO,B2Gold Corp.,Basic Materials,Metals & Mining
BAD,Badger Daylighting Ltd.,Industrials,Engineering & Construction
BMO,Bank of Montreal,Financial Services,Banks
BNS,Bank of Nova Scotia,Financial Services,Banks
ABX,Barrick Gold Corporation,Basic Materials,Metals & Mining
BHC,Bausch Health Companies Ltd.,Healthcare,Drug Manufacturers
BTE,Baytex Energy Corp.,Energy,Exploration & Production
BCE,BCE Inc.,Communication Services,Communication Services
BIR,Birchcliff Energy Ltd.,Energy,Exploration & Production
BB,BlackBerry Limited,Technology,Communication Equipment
BEI-UN,Boardwalk Real Estate Investment Trust,Real Estate,REITs
BBD-B,Bombardier Inc.,Industrials,Aerospace & Defense
BLX,Boralex Inc.,Utilities,Independent Power Producers
BYD-UN,Boyd Group Income Fund,Consumer Cyclical,Personal Services
BAM-A,Brookfield Asset Management Inc.,Real Estate,Real Estate Services
BBU-UN,Brookfield Business Partners L.P.,Real Estate,Real Estate Services
BIP-UN,Brookfield Infrastructure Partners L.P.,Utilities,Regulated Utilities
BPY-UN,Brookfield Property Partners L.P.,Real Estate,Real Estate Services
BEP-UN,Brookfield Renewable Partners L.P.,Utilities,Independent Power Producers
DOO,BRP Inc.,Consumer Cyclical,Autos
CAE,CAE Inc.,Industrials,Aerospace & Defense
CCO,Cameco Corporation,Basic Materials,Metals & Mining
GOOS,Canada Goose Holdings Inc.,Consumer Cyclical,Manufacturing - Apparel & Furniture
CAR-UN,Canadian Apartment Properties Real Estate Investment Trust,Real Estate,REITs
CM,Canadian Imperial Bank of Commerce,Financial Services,Banks
CNR,Canadian National Railway Company,Industrials,Transportation & Logistics
CNQ,Canadian Natural Resources Limited,Energy,Exploration & Production
CP,Canadian Pacific Railway Limited,Industrials,Transportation & Logistics
CTC-A,Canadian Tire Corporation Limited,Consumer Cyclical,Retail - Apparel & Specialty
CU,Canadian Utilities Limited,Utilities,Regulated Utilities
CWB,Canadian Western Bank,Financial Services,Banks
CFP,Canfor Corporation,Basic Materials,Forest Products
WEED,Canopy Growth Corporation,Consumer Defensive,Consumer Packaged Goods
CPX,Capital Power Corporation,Utilities,Regulated Utilities
CAS,Cascades Inc.,Basic Materials,Forest Products
CCL-B,CCL Industries Inc.,Consumer Cyclical,Packaging & Containers
CLS,Celestica Inc.,Technology,Computer Hardware
CVE,Cenovus Energy Inc.,Energy,Integrated Oil & Gas
CG,Centerra Gold Inc.,Basic Materials,Metals & Mining
CEU,CES Energy Solutions Corp.,Energy,Drilling
GIB-A,CGI Group Inc.,Technology,Application Software
CSH-UN,Chartwell Retirement Residences,Real Estate,Real Estate Services
